_Language,English,Simplified Chinese,,Language name - in English
GMStdIfAnyObjAt_Story_4,"If no instance is overlapping self at ${dnd_position} on ${applyto}",“如果在${applyto}上的${DND_POSITION}处没有实例与自身重叠”,,dnd story text
GMStdIfObjAt_Story_1,"If ${object} is overlapping self at ${dnd_position}${show_input_count}",“如果${object}在${DND_POSITION}${show_input_count}与自身重叠”,,dnd story text
GMStdIfObjAt_Story_2,"If ${object} is overlapping self at ${dnd_position} on ${applyto}${show_input_count}",“如果${object}在${applyto}${show_input_count}上的${DND_POSITION}处与自身重叠”,,dnd story text
GMStdIfObjAt_Story_3,"If ${object} is overlapping self at ${dnd_position} into ${target}${show_input_count}",“如果${object}将位于${DND_POSITION}的自身重叠到${target}${show_input_count}”,,dnd story text
GMStdIfObjAt_Story_4,"If ${object} is overlapping self at ${dnd_position} into ${target} on ${applyto}${show_input_count}",“如果${object}将${DND_POSITION}处的自身重叠到${applyto}${show_input_count}上的${target}”,,dnd story text
GMStdIfObjAt_Story_5,"If ${object} is overlapping self at ${dnd_position} into temp ${target}${show_input_count}",“如果${object}将位于${DND_POSITION}的自身重叠到临时${target}${show_input_count}”,,dnd story text
GMStdIfObjAt_Story_6,"If ${object} is overlapping self at ${dnd_position} into temp ${target} on ${applyto}${show_input_count}",“如果${object}将${DND_POSITION}处的自身重叠到${applyto}${show_input_count}上的临时${target}中”,,dnd story text
GMStdIfObjAt_Story_7,"If ${object} is not overlapping self at ${dnd_position}${show_input_count}",“如果${object}未在${DND_POSITION}${show_input_count}处重叠自身”,,dnd story text
GMStdIfObjAt_Story_8,"If ${object} is not overlapping self at ${dnd_position} on ${applyto}${show_input_count}",“如果${object}未在${applyto}${show_input_count}上的${DND_POSITION}处重叠自身”,,dnd story text
GMStdIfObjAt_Story_9,"If ${object} is not overlapping self at ${dnd_position} into ${target}${show_input_count}",“如果${object}没有将${DND_POSITION}处的自身重叠到${target}${show_input_count}”,,dnd story text
GMStdIfObjAt_Story_10,"If ${object} is not overlapping self at ${dnd_position} into ${target} on ${applyto}${show_input_count}",“如果${object}没有将${DND_POSITION}处的自身重叠到${applyto}${show_input_count}上的${target}中”,,dnd story text
GMStdIfObjAt_Story_11,"If ${object} is not overlapping self at ${dnd_position} into temp ${target}${show_input_count}",“如果${object}没有将${DND_POSITION}处的自身重叠到临时${target}${show_input_count}”,,dnd story text
GMStdIfObjAt_Story_12,"If ${object} is not overlapping self at ${dnd_position} into temp ${target} on ${applyto}${show_input_count}",“如果${object}没有将${DND_POSITION}处的自我重叠到${applyto}${show_input_count}上的临时${target}中”,,dnd story text
GMStdIfColShape_Story_1,"If ${obj} intersects line at ${dnd_position1} to ${dnd_position2}",“如果${obj}与${DND_Position 1}到${DND_Position 2}处的线相交”,,dnd story text
GMStdIfColShape_Story_2,"If ${obj} intersects line at ${dnd_position1} to ${dnd_position2} on ${applyto}",“如果${obj}与${applyto}上${DND_Position 1}到${DND_Position 2}处的线相交”,,dnd story text
GMStdIfColShape_Story_3,"If ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into list ${target}",“如果${obj}与列表${target}中位于${DND_Position 1}到${DND_Position 2}的行相交”,,dnd story text
GMStdIfColShape_Story_4,"If ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into list ${target} on ${applyto}",“如果${obj}将${DND_Position 1}到${DND_Position 2}处的行与${applyto}上的列表${target}相交”,,dnd story text
GMStdIfColShape_Story_5,"If ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into list temp ${target}",“如果${obj}与列表TEMP${target}中${DND_Position 1}到${DND_Position 2}的行相交”,,dnd story text
GMStdIfColShape_Story_6,"If ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into list temp ${target} on ${applyto}",“如果${obj}与${DND_Position 1}到${DND_Position 2}处的行相交，则进入${applyto}上的列表临时${target}”,,dnd story text
GMStdIfColShape_Story_7,"If ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into ${target}",“如果${obj}与${DND_Position 1}到${DND_Position 2}处的线相交，则为${target}”,,dnd story text
GMStdIfColShape_Story_8,"If ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into ${target} on ${applyto}",“如果${obj}与${DND_Position 1}到${DND_Position 2}处的线相交，则为${applyto}上的${target}”,,dnd story text
GMStdIfColShape_Story_9,"If ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into temp ${target}",“如果${obj}与位于${DND_Position 1}到${DND_Position 2}的行相交，则进入临时${target}”,,dnd story text
GMStdIfColShape_Story_10,"If ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into temp ${target} on ${applyto}",“如果${obj}与${DND_Position 1}到${DND_Position 2}处的行相交，则为${applyto}上的临时${target}”,,dnd story text
GMStdIfColShape_Story_11,"If ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2}",“如果${obj}与${DND_Position 1}处的矩形相交，则为${DND_Position 2}”,,dnd story text
GMStdIfColShape_Story_12,"If ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} on ${applyto}",“如果${obj}与${applyto}上${DND_Position 1}处的矩形与${DND_Position 2}相交”,,dnd story text
GMStdIfColShape_Story_13,"If ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into list ${target}",“如果${obj}与列表${target}中${DND_Position 1}到${DND_Position 2}处的矩形相交”,,dnd story text
GMStdIfColShape_Story_14,"If ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into list ${target} on ${applyto}",“如果${obj}与${DND_Position 1}到${DND_Position 2}处的矩形相交，则列表${target}位于${applyto}上”,,dnd story text
GMStdIfColShape_Story_15,"If ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into list temp ${target}",“如果${obj}与位于${DND_Position 1}到${DND_Position 2}的矩形相交，则列表临时为${target}”,,dnd story text
GMStdIfColShape_Story_16,"If ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into list temp ${target} on ${applyto}",“如果${obj}与${DND_Position1}到${DND_Position2}处的矩形相交，则进入${applyto}上的列表临时${target}”,,dnd story text
GMStdIfColShape_Story_17,"If ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into ${target}",“如果${obj}与${DND_Position 1}到${DND_Position 2}处的矩形相交，则为${target}”,,dnd story text
GMStdIfColShape_Story_18,"If ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into ${target} on ${applyto}",“如果${obj}与${DND_Position 1}到${DND_Position 2}处的矩形相交，则为${applyto}上的${target}”,,dnd story text
GMStdIfColShape_Story_19,"If ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into temp ${target}",“如果${obj}与位于${DND_Position 1}到${DND_Position 2}的矩形相交，则为临时${target}”,,dnd story text
GMStdIfColShape_Story_20,"If ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into temp ${target} on ${applyto}",“如果${obj}与${DND_Position 1}到${DND_Position 2}处的矩形相交，则为${applyto}上的临时${target}”,,dnd story text
GMStdIfColShape_Story_21,"If ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2}",“如果${obj}在${DND_Position 1}到${DND_Position 2}处与椭圆相交”,,dnd story text
GMStdIfColShape_Story_22,"If ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} on ${applyto}",“如果${obj}与${applyto}上的${DND_Position 1}到${DND_Position 2}处的椭圆相交”,,dnd story text
GMStdIfColShape_Story_23,"If ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into list ${target}",“如果${obj}与列表${target}中${DND_Position 1}到${DND_Position 2}处的椭圆相交”,,dnd story text
GMStdIfColShape_Story_24,"If ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into list ${target} on ${applyto}",“如果${obj}在${DND_Position 1}到${DND_Position 2}处的椭圆与${applyto}上的列表${target}相交”,,dnd story text
GMStdIfColShape_Story_25,"If ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into list temp ${target}",“如果${obj}与列表TEMP${target}中${DND_Position 1}到${DND_Position 2}处的椭圆相交”,,dnd story text
GMStdIfColShape_Story_26,"If ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into list temp ${target} on ${applyto}",“如果${obj}与${DND_Position 1}到${DND_Position 2}处的椭圆相交，则进入${applyto}上的列表临时${target}”,,dnd story text
GMStdIfColShape_Story_27,"If ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into ${target}",“如果${obj}与${DND_Position 1}到${DND_Position 2}处的椭圆相交，则为${target}”,,dnd story text
GMStdIfColShape_Story_28,"If ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into ${target} on ${applyto}",“如果${obj}与${DND_Position 1}到${DND_Position 2}处的椭圆相交，则为${applyto}上的${target}”,,dnd story text
GMStdIfColShape_Story_29,"If ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into temp ${target}",“如果${obj}在${DND_Position 1}到${DND_Position 2}处的椭圆与临时${target}相交”,,dnd story text
GMStdIfColShape_Story_30,"If ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into temp ${target} on ${applyto}",“如果${obj}与${DND_Position 1}到${DND_Position 2}处的椭圆相交，则为${applyto}上的临时${target}”,,dnd story text
GMStdIfColShape_Story_31,"If not ${obj} intersects line at ${dnd_position1} to ${dnd_position2}",“如果不是，${obj}与${DND_Position 1}到${DND_Position 2}处的线相交”,,dnd story text
GMStdIfColShape_Story_32,"If not ${obj} intersects line at ${dnd_position1} to ${dnd_position2} on ${applyto}",“如果不是，${obj}与${applyto}上${DND_Position 1}到${DND_Position 2}处的线相交”,,dnd story text
GMStdIfColShape_Story_33,"If not ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into list ${target}",“否则，${obj}将位于${DND_Position 1}到${DND_Position2}的行与列表${target}相交”,,dnd story text
GMStdIfColShape_Story_34,"If not ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into list ${target} on ${applyto}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的行与${applyto}上的列表${target}相交”,,dnd story text
GMStdIfColShape_Story_35,"If not ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into list temp ${target}",“如果不是，${obj}将位于${DND_Position 1}到${DND_Position 2}的行与列表TEMP${target}相交”,,dnd story text
GMStdIfColShape_Story_36,"If not ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into list temp ${target} on ${applyto}",“否则，${obj}将位于${DND_Position1}到${DND_Position2}的行与${applyto}上的列表临时${target}相交”,,dnd story text
GMStdIfColShape_Story_37,"If not ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into ${target}",“如果不是，${obj}将位于${DND_Position 1}到${DND_Position 2}的行与${target}相交”,,dnd story text
GMStdIfColShape_Story_38,"If not ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into ${target} on ${applyto}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的行与${applyto}上的${target}相交”,,dnd story text
GMStdIfColShape_Story_39,"If not ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into temp ${target}",“如果不是，${obj}将位于${DND_Position 1}到${DND_Position 2}的行与临时${target}相交”,,dnd story text
GMStdIfColShape_Story_40,"If not ${obj} intersects line at ${dnd_position1} to ${dnd_position2} into temp ${target} on ${applyto}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的行与${applyto}上的临时${target}相交”,,dnd story text
GMStdIfColShape_Story_41,"If not ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2}",“否则，${obj}与${DND_Position 1}处的矩形相交到${DND_Position 2}”,,dnd story text
GMStdIfColShape_Story_42,"If not ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} on ${applyto}",“否则，${obj}与${applyto}上${DND_Position 1}处的矩形与${DND_Position 2}相交”,,dnd story text
GMStdIfColShape_Story_43,"If not ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into list ${target}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的矩形相交到列表${target}”,,dnd story text
GMStdIfColShape_Story_44,"If not ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into list ${target} on ${applyto}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的矩形与${applyto}上的列表${target}相交”,,dnd story text
GMStdIfColShape_Story_45,"If not ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into list temp ${target}",“否则，${obj}将位于${DND_Position 1}到${DND_Position2}的矩形相交到列表TEMP${target}”,,dnd story text
GMStdIfColShape_Story_46,"If not ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into list temp ${target} on ${applyto}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的矩形相交到${applyto}上的列表临时${target}”,,dnd story text
GMStdIfColShape_Story_47,"If not ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into ${target}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的矩形相交到${target}”,,dnd story text
GMStdIfColShape_Story_48,"If not ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into ${target} on ${applyto}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的矩形与${applyto}上的${target}相交”,,dnd story text
GMStdIfColShape_Story_49,"If not ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into temp ${target}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的矩形与临时${target}相交”,,dnd story text
GMStdIfColShape_Story_50,"If not ${obj} intersects rectangle at ${dnd_position1} to ${dnd_position2} into temp ${target} on ${applyto}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的矩形与${applyto}上的临时${target}相交”,,dnd story text
GMStdIfColShape_Story_51,"If not ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2}",“否则，${obj}与椭圆在${DND_Position 1}到${DND_Position 2}相交”,,dnd story text
GMStdIfColShape_Story_52,"If not ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} on ${applyto}",“否则，${obj}与${applyto}上的${DND_Position 1}到${DND_Position 2}处的椭圆相交”,,dnd story text
GMStdIfColShape_Story_53,"If not ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into list ${target}",“否则，${obj}将位于${DND_Position 1}处的椭圆与列表${target}中的${DND_Position 2}相交”,,dnd story text
GMStdIfColShape_Story_54,"If not ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into list ${target} on ${applyto}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的椭圆相交到${applyto}上的列表${target}”,,dnd story text
GMStdIfColShape_Story_55,"If not ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into list temp ${target}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的椭圆相交到列表TEMP${target}”,,dnd story text
GMStdIfColShape_Story_56,"If not ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into list temp ${target} on ${applyto}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的椭圆相交到${applyto}上的列表临时${target}”,,dnd story text
GMStdIfColShape_Story_57,"If not ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into ${target}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的椭圆与${target}相交”,,dnd story text
GMStdIfColShape_Story_58,"If not ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into ${target} on ${applyto}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的椭圆与${applyto}上的${target}相交”,,dnd story text
GMStdIfColShape_Story_59,"If not ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into temp ${target}",“否则，${obj}将位于${DND_Position 1}到${DND_Position 2}的椭圆与临时${target}相交”,,dnd story text
GMStdIfColShape_Story_60,"If not ${obj} intersects ellipse at ${dnd_position1} to ${dnd_position2} into temp ${target} on ${applyto}",“否则，${obj}在${DND_Position 1}到${DND_Position 2}处的椭圆与${applyto}上的临时${target}相交”,,dnd story text
GMStdIfColPoint_Story_1,"If ${obj} intersects point ${dnd_position}",“如果${obj}与点${DND_POSITION}相交”,,dnd story text
GMStdIfColPoint_Story_2,"If ${obj} intersects point ${dnd_position} on ${applyto}",“如果${obj}与${applyto}上的点${dnd_position}相交”,,dnd story text
GMStdIfColPoint_Story_3,"If ${obj} intersects point ${dnd_position} into list ${target}",“如果${obj}与列表${target}中的点${dnd_position}相交”,,dnd story text
GMStdIfColPoint_Story_4,"If ${obj} intersects point ${dnd_position} into list ${target} on ${applyto}",“如果${obj}将点${dnd_position}与${applyto}上的列表${target}相交”,,dnd story text
GMStdIfColPoint_Story_5,"If ${obj} intersects point ${dnd_position} into list temp ${target}",“如果${obj}将点${DND_POSITION}与列表TEMP${target}相交”,,dnd story text
GMStdIfColPoint_Story_6,"If ${obj} intersects point ${dnd_position} into list temp ${target} on ${applyto}",“如果${obj}与${applyto}上的列表临时${target}中的点${dnd_position}相交”,,dnd story text
GMStdIfColPoint_Story_7,"If ${obj} intersects point ${dnd_position} into ${target}",“如果${obj}将点${DND_POSITION}与${target}相交”,,dnd story text
GMStdIfColPoint_Story_8,"If ${obj} intersects point ${dnd_position} into ${target} on ${applyto}",“如果${obj}将点${dnd_position}与${applyto}上的${target}相交”,,dnd story text
GMStdIfColPoint_Story_9,"If ${obj} intersects point ${dnd_position} into temp ${target}",“如果${obj}将点${DND_POSITION}与临时${target}相交”,,dnd story text
GMStdIfColPoint_Story_10,"If ${obj} intersects point ${dnd_position} into temp ${target} on ${applyto}",“如果${obj}将点${dnd_position}与${applyto}上的临时${target}相交”,,dnd story text
GMStdIfColPoint_Story_11,"If not ${obj} intersects point ${dnd_position}",“如果不是，${obj}与点${DND_POSITION}相交”,,dnd story text
GMStdIfColPoint_Story_12,"If not ${obj} intersects point ${dnd_position} on ${applyto}",“如果不是，${obj}与${applyto}上的点${dnd_position}相交”,,dnd story text
GMStdIfColPoint_Story_13,"If not ${obj} intersects point ${dnd_position} into list ${target}",“否则，${obj}会将点${dnd_position}与列表${target}相交”,,dnd story text
GMStdIfColPoint_Story_14,"If not ${obj} intersects point ${dnd_position} into list ${target} on ${applyto}",“否则，${obj}将点${dnd_position}与${applyto}上的列表${target}相交”,,dnd story text
GMStdIfColPoint_Story_15,"If not ${obj} intersects point ${dnd_position} into list temp ${target}",“否则，${obj}将点${DND_POSITION}与列表TEMP${target}相交”,,dnd story text
GMStdIfColPoint_Story_16,"If not ${obj} intersects point ${dnd_position} into list temp ${target} on ${applyto}",“否则，${obj}将点${dnd_position}与${applyto}上的列表临时${target}相交”,,dnd story text
GMStdIfColPoint_Story_17,"If not ${obj} intersects point ${dnd_position} into ${target}",“否则，${obj}将点${dnd_position}相交到${target}”,,dnd story text
GMStdIfColPoint_Story_18,"If not ${obj} intersects point ${dnd_position} into ${target} on ${applyto}",“否则，${obj}将点${dnd_position}与${applyto}上的${target}相交”,,dnd story text
GMStdIfColPoint_Story_19,"If not ${obj} intersects point ${dnd_position} into temp ${target}",“否则，${obj}会将点${dnd_position}与临时${target}相交”,,dnd story text
GMStdIfColPoint_Story_20,"If not ${obj} intersects point ${dnd_position} into temp ${target} on ${applyto}",“否则，${obj}将点${dnd_position}与${applyto}上的临时${target}相交”,,dnd story text
GMStdDrawSelf_Story_1,"Draw self","绘制自身",,dnd story text
GMStdDrawSelf_Story_2,"Draw self on ${applyto}",“在${applyto}上绘制自我”,,dnd story text
GMStdDrawValue_Story_1,"Draw  at ${dnd_position}",“在${DND_POSITION}处绘制”,,dnd story text
GMStdDrawValue_Story_2,"Draw  at ${dnd_position} on ${applyto}",“在${applyto}上的${DND_POSITION}处绘制”,,dnd story text
GMStdDrawValue_Story_3,"Draw  ${var} at ${dnd_position}",“在${DND_POSITION}处绘制${var}”,,dnd story text
GMStdDrawValue_Story_4,"Draw  ${var} at ${dnd_position} on ${applyto}",“在${applyto}上的${DND_Position}处绘制${var}”,,dnd story text
GMStdDrawValue_Story_5,"Draw "${caption}" at ${dnd_position}",“在${DND_POSITION}处绘制”${Caption}“”,,dnd story text
GMStdDrawValue_Story_6,"Draw "${caption}" at ${dnd_position} on ${applyto}",在${applyto}上的${DND_Position}处绘制“${Caption}”,,dnd story text
GMStdDrawValue_Story_7,"Draw "${caption}" ${var} at ${dnd_position}",“在${DND_POSITION}处绘制”${Caption}“${var}”,,dnd story text
GMStdDrawValue_Story_8,"Draw "${caption}" ${var} at ${dnd_position} on ${applyto}",“在${applyto}上的${dnd_position}处绘制”${caption}“${var}”,,dnd story text
GMStdDrawValueTransformed_Story_1,"Draw transformed  at ${dnd_position}",“在${DND_POSITION}转换的绘图”,,dnd story text
GMStdDrawValueTransformed_Story_2,"Draw transformed  at ${dnd_position} on ${applyto}",“在${applyto}上的${DND_POSITION}处转换的绘图”,,dnd story text
GMStdDrawValueTransformed_Story_3,"Draw transformed  ${var} at ${dnd_position}",“在${DND_POSITION}处绘制转换后的${var}”,,dnd story text
GMStdDrawValueTransformed_Story_4,"Draw transformed  ${var} at ${dnd_position} on ${applyto}",“在${applyto}上的${DND_POSITION}处绘制转换后的${var}”,,dnd story text
GMStdDrawValueTransformed_Story_5,"Draw transformed "${caption}" at ${dnd_position}",“在${DND_POSITION}处绘制转换后的”${Caption}“,,dnd story text
GMStdDrawValueTransformed_Story_6,"Draw transformed "${caption}" at ${dnd_position} on ${applyto}",在${applyto}上的${DND_POSITION}处绘制已转换的“${CAPTION}”,,dnd story text
GMStdDrawValueTransformed_Story_7,"Draw transformed "${caption}" ${var} at ${dnd_position}",“在${DND_POSITION}处绘制转换后的”${Caption}“${var}”,,dnd story text
GMStdDrawValueTransformed_Story_8,"Draw transformed "${caption}" ${var} at ${dnd_position} on ${applyto}",在${applyto}的${DND_POSITION}处绘制已转换的“${Caption}”${var}“,,dnd story text
GMStdDrawSprite_Story_1,"Draw sprite ${sprite} frame ${image} at ${dnd_position}",“在${DND_POSITION}处绘制精灵${SPRITE}帧${image}”,,dnd story text
GMStdDrawSprite_Story_2,"Draw sprite ${sprite} frame ${image} at ${dnd_position} on ${applyto}",“在${applyto}上的${DND_POSITION}处绘制精灵${SPRITE}帧${image}”,,dnd story text
GMStdDrawSpriteExt_Story_1,"Draw transformed sprite ${sprite} frame ${frame} with scale ${xscale},${yscale} and rotation ${rot}","使用比例${xScale}、${yscale}和旋转${rott}绘制变换后的精灵${spite}帧${frame}",,dnd story text
GMStdDrawSpriteExt_Story_2,"Draw transformed sprite ${sprite} frame ${frame} with scale ${xscale},${yscale} and rotation ${rot} on ${applyto}","在${applyto}上绘制具有比例${xScale}、${yscale}和旋转${rott}的变换精灵${spite}帧${frame}",,dnd story text
GMStdDrawSpritesStacked_Story_1,"Draw sprite ${sprite} in ${number} rows at ${dnd_position}",“在${DND_POSITION}处的${number}行中绘制精灵${SPRITE}”,,dnd story text
GMStdDrawSpritesStacked_Story_2,"Draw sprite ${sprite} in ${number} rows at ${dnd_position} on ${applyto}",“在${applyto}上的${DND_POSITION}处绘制${number}行中的精灵${SPRITE}”,,dnd story text
GMStdDrawSpritesStacked_Story_3,"Draw sprite ${sprite} in ${number} columns at ${dnd_position}",“在${DND_POSITION}处的${number}列中绘制精灵${SPRITE}”,,dnd story text
GMStdDrawSpritesStacked_Story_4,"Draw sprite ${sprite} in ${number} columns at ${dnd_position} on ${applyto}",“在${applyto}上${DND_POSITION}处的${number}列中绘制精灵${SPRITE}”,,dnd story text
GMStdDrawRectangle_Story_1,"Draw rectangle from ${dnd_position1} to ${dnd_position2}",“绘制从${DND_Position 1}到${DND_Position 2}的矩形”,,dnd story text
GMStdDrawRectangle_Story_2,"Draw rectangle from ${dnd_position1} to ${dnd_position2} on ${applyto}",“在${applyto}上绘制从${DND_Position 1}到${DND_Position 2}的矩形”,,dnd story text
GMStdDrawGradientRect_Story_1,"Draw gradient rectangular outline from ${dnd_position1} to ${dnd_position2}",“绘制从${DND_Position 1}到${DND_Position 2}的渐变矩形轮廓”,,dnd story text
GMStdDrawGradientRect_Story_2,"Draw gradient rectangular outline from ${dnd_position1} to ${dnd_position2} on ${applyto}",“在${applyto}上绘制从${DND_Position 1}到${DND_Position 2}的渐变矩形轮廓”,,dnd story text
GMStdDrawGradientRect_Story_3,"Draw gradient rectangle from ${dnd_position1} to ${dnd_position2}",“绘制从${DND_Position 1}到${DND_Position 2}的渐变矩形”,,dnd story text
GMStdDrawGradientRect_Story_4,"Draw gradient rectangle from ${dnd_position1} to ${dnd_position2} on ${applyto}",“在${applyto}上绘制从${DND_Position 1}到${DND_Position2}的渐变矩形”,,dnd story text
GMStdDrawEllipse_Story_1,"Draw ellipse from ${dnd_position1} to ${dnd_position2}",“绘制从${DND_Position 1}到${DND_Position 2}的椭圆”,,dnd story text
GMStdDrawEllipse_Story_2,"Draw ellipse from ${dnd_position1} to ${dnd_position2} on ${applyto}",“在${applyto}上绘制从${DND_Position 1}到${DND_Position 2}的椭圆”,,dnd story text
GMStdDrawGradientEllipse_Story_1,"Draw gradient elliptical outline from ${dnd_position1} to ${dnd_position2}",“绘制从${DND_Position 1}到${DND_Position 2}的渐变椭圆轮廓”,,dnd story text
GMStdDrawGradientEllipse_Story_2,"Draw gradient elliptical outline from ${dnd_position1} to ${dnd_position2} on ${applyto}",“在${applyto}上绘制从${DND_Position 1}到${DND_Position 2}的渐变椭圆轮廓”,,dnd story text
GMStdDrawGradientEllipse_Story_3,"Draw gradient ellipse from ${dnd_position1} to ${dnd_position2}",“绘制从${DND_Position 1}到${DND_Position 2}的渐变椭圆”,,dnd story text
GMStdDrawGradientEllipse_Story_4,"Draw gradient ellipse from ${dnd_position1} to ${dnd_position2} on ${applyto}",“在${applyto}上绘制从${DND_Position 1}到${DND_Position 2}的渐变椭圆”,,dnd story text
GMStdDrawLine_Story_1,"Draw line from ${dnd_position1} to ${dnd_position2}",“绘制从${DND_Position 1}到${DND_Position 2}的直线”,,dnd story text
GMStdDrawLine_Story_2,"Draw line from ${dnd_position1} to ${dnd_position2} on ${applyto}",“在${applyto}上绘制从${DND_Position 1}到${DND_Position 2}的直线”,,dnd story text
GMStdDrawHealthbar_Story_1,"Draw healthbar from ${dnd_position1} to ${dnd_position2} with value ${value}",“使用值${value}从${DND_Position1}到${DND_Position2}绘制健康值条”,,dnd story text
GMStdDrawHealthbar_Story_2,"Draw healthbar from ${dnd_position1} to ${dnd_position2} with value ${value} on ${applyto}",“在${applyto}上用值${value}从${DND_Position1}到${DND_Position2}绘制健康值条”,,dnd story text
GMStdDrawInstanceScore_Story_1,"Draw score at ${dnd_position}",“在${DND_POSITION}处抽签得分”,,dnd story text
GMStdDrawInstanceScore_Story_2,"Draw score at ${dnd_position} with caption "${caption}"",“在${DND_POSITION}处绘制分数，标题为”${CAPTION}“”,,dnd story text
GMStdDrawInstanceScore_Story_3,"Draw ${applyto}'s score at ${dnd_position} on ${applyto}",“在${applyto}上的${DND_Position}处绘制${applyto}的分数”,,dnd story text
GMStdDrawInstanceScore_Story_4,"Draw ${applyto}'s score at ${dnd_position} with caption "${caption}" on ${applyto}",在${applyto}上的${DND_POSITION}处绘制${applyto}的分数，标题为“${caption}”,,dnd story text
GMStdDrawInstanceHealth_Story_1,"Draw healthbar from ${dnd_position1} to ${dnd_position2}",“从${DND_Position1}到${DND_Position2}绘制健康值条”,,dnd story text
GMStdDrawInstanceHealth_Story_2,"Draw ${applyto}'s healthbar from ${dnd_position1} to ${dnd_position2} on ${applyto}",“在${applyto}上将${applyto}的健康值条从${DND_Position 1}绘制到${DND_Position 2}”,,dnd story text
GMStdDrawInstanceLives_Story_1,"Draw lives in a row at ${dnd_position}",“在${DND_POSITION}画一排生命值”,,dnd story text
GMStdDrawInstanceLives_Story_2,"Draw lives in a column at ${dnd_position}",“在${DND_POSITION}的列中绘制生命值”,,dnd story text
